station_id,cluster
e1a15081-2542-9107-e040-0b0a3dfe563c,Berlin
e1a15081-254e-9107-e040-0b0a3dfe563c,Stuttgart
e1a15081-255a-9107-e040-0b0a3dfe563c,Berlin
e1a15081-255b-9107-e040-0b0a3dfe563c,Berlin
e1a15081-256a-9107-e040-0b0a3dfe563c,Kiel
e1a15081-257a-9107-e040-0b0a3dfe563c,Nürnberg
e1a15081-257b-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2580-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2581-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2584-9107-e040-0b0a3dfe563c,Dresden
e1a15081-2586-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2596-9107-e040-0b0a3dfe563c,Berlin
e1a15081-2597-9107-e040-0b0a3dfe563c,Berlin
e1a15081-25a2-9107-e040-0b0a3dfe563c,Berlin
e1a15081-25a3-9107-e040-0b0a3dfe563c,Berlin
e1a15081-25a4-9107-e040-0b0a3dfe563c,Stuttgart
e1a15081-25a5-9107-e040-0b0a3dfe563c,Stuttgart
e1a15081-25a8-9107-e040-0b0a3dfe563c,Nürnberg
e1a15081-25af-9107-e040-0b0a3dfe563c,Berlin
e1a15081-25b4-9107-e040-0b0a3dfe563c,Stuttgart
e1a15081-25b8-9107-e040-0b0a3dfe563c,Stuttgart
e1a15081-25bc-9107-e040-0b0a3dfe563c,Leipzig
e1a15081-25bf-9107-e040-0b0a3dfe563c,Leipzig
e1a15081-25c0-9107-e040-0b0a3dfe563c,Leipzig
e1a15081-25c5-9107-e040-0b0a3dfe563c,Leipzig
e1a15081-25cb-9107-e040-0b0a3dfe563c,Berlin
e1a15081-25cc-9107-e040-0b0a3dfe563c,Berlin
e1a15081-25ce-9107-e040-0b0a3dfe563c,Berlin
e1a15081-25da-9107-e040-0b0a3dfe563c,Magdeburg
e1a15081-2604-9107-e040-0b0a3dfe563c,Magdeburg
e1a15081-2608-9107-e040-0b0a3dfe563c,Magdeburg
e1a15081-2609-9107-e040-0b0a3dfe563c,Chemnitz
e1a15081-260f-9107-e040-0b0a3dfe563c,Dresden
e1a15081-2610-9107-e040-0b0a3dfe563c,Dresden
e1a15081-261a-9107-e040-0b0a3dfe563c,Kiel
e1a15081-261d-9107-e040-0b0a3dfe563c,Leipzig
e1a15081-261e-9107-e040-0b0a3dfe563c,Leipzig
e1a15081-2632-9107-e040-0b0a3dfe563c,Magdeburg
e1c61609-e491-4a14-94b1-b97821b38531,Chemnitz
e1cafea0-3da4-4419-9013-e41754332638,Stuttgart
e1d851d8-c763-425c-b727-f01fdec36cf3,Berlin
e2280916-d176-45bc-a239-6669b1cd10e9,Chemnitz
e25b5826-cd98-4004-8bca-0e9e352ef9a3,Kassel
e271d8f1-02f8-4944-beed-09f43dc737ba,Nürnberg
e299aecc-2b21-4891-9f18-0056139bcb81,Berlin
e2b84db0-477a-447e-843b-c745afa04c61,Kiel
e2fc30d5-dfd7-43e8-b61d-16ba4cb0fc01,Berlin
e37859d3-5b3f-46d4-150d-f1021c2cee5e,Chemnitz
e3890cb9-3d27-4cc1-b954-845546dd4334,Leipzig
e3ab6579-0b05-492e-8e74-c46e47923e71,Dresden
e41d5456-f6dc-4e0b-9611-647b9962566c,Magdeburg
e43f4d46-86a9-4129-a364-97eefed7e9d0,Stuttgart
e4b2aa05-221a-4e5a-ba75-5f6673b75741,Berlin
e4d67e03-02ce-4f98-a60b-4ae090bc3ede,Nürnberg
e4e4d522-6f9a-44c3-9d75-25fc8466d9a7,Magdeburg
e4e6e48c-79b6-4b57-8363-bc518750eee8,Dresden
e4f38ac0-e749-4248-ac9e-444c424835f5,Chemnitz
e552b0e1-cda8-4c18-ae4a-3af8da64ab27,Kassel
e5698c43-fa80-4404-925f-1ec278f6dd45,Dresden
e5a0b409-e420-49b9-87aa-ebb8bfc311dc,Stuttgart
e5a8f51b-c9b3-463a-b4be-bc8ff75eb7b1,Leipzig
e6001058-dc8d-4a5a-a008-d111938d08c6,Stuttgart
e61d336b-49a6-491f-bdc6-bb062d4dfdd3,Kassel
e63655a8-36b4-40ba-91f9-5ef438556e4e,Chemnitz
e6375887-6bb4-4fef-9c53-a5fe9833b3a5,Kassel
e698a272-5859-4df4-9485-0d0707355581,Nürnberg
e6aaa4e0-5876-4e05-a564-fb949df831e7,Stuttgart
e6b3bc9d-b5a1-47b7-8c55-0f400da945d9,Nürnberg
e6c584dc-e4cc-4953-bdb8-355daf11418f,Nürnberg
e75cdbaa-4847-4358-b6f6-dd0aea283bb8,Berlin
e762102a-f63d-4008-bbba-298466ad86e0,Leipzig
e77d4685-53bf-4241-9cbe-2dd8feaea93a,Berlin
e78d9b82-d883-40d2-9625-26c5567f9110,Nürnberg
e7f6bdbc-2528-482a-a3fc-b14c9a394dd6,Kiel
e8188d70-7cd4-4aa6-b419-188453dcf3a2,Stuttgart
e81c4e1a-167f-43d1-bb5b-aaddf05e3654,Chemnitz
e82999a7-e97d-487c-bf3a-f810ebdb17f2,Leipzig
e83b2a71-cc73-4996-a6a2-ded132dc168b,Kassel
e86b7947-4857-4360-a31f-c6daf09124c5,Dresden
e87ddb36-fa61-47d2-8632-89de220de30f,Berlin
e88fcbca-b6b0-4ce5-8f61-944c130ea485,Dresden
e9038964-70dd-4f4a-a39f-a7b242ccc804,Kassel
e90c3aa7-34b7-43cb-bd6b-440e5944aa51,Leipzig
e96388ed-5c58-4f9e-bc66-5f6534332ddd,Magdeburg
e998242c-0c32-4541-a00a-e8a53ff90bae,Stuttgart
e9c0710b-8efa-47ac-b398-d2477f7670fb,Chemnitz
e9ff0385-e504-4cd2-a17c-36e3be864a74,Kiel
ea48ea88-561e-4b5a-87e5-9402768b367e,Berlin
ea59b523-4e33-490d-ae24-32c88508dab9,Berlin
ea931016-f8d4-472e-aabd-3cad3a719dbd,Magdeburg
eaae4a1e-f052-4e34-a0c6-111a165e10d1,Kassel
eab538d2-4a3c-44ea-883a-01ca9f65c0e6,Kassel
eabc50cf-4979-4281-be7e-ae6f2151f1b2,Berlin
eadb4305-4919-4d08-9605-5e5e0cda8d87,Leipzig
eb122029-e957-4417-b06d-5d2d168e05a2,Berlin
7568c46b-281c-452a-a99c-d82ea1dffc5b,"Frankfurt am Main , Wiesbaden"
765c6f24-89a4-41ff-b556-8a415d7998f9,"Frankfurt am Main , Wiesbaden"
766ae5a3-cd2b-4f61-b291-4b00a52eb051,"Frankfurt am Main , Wiesbaden"
76842ca9-0fe1-4a2f-8b03-fa539a5a7bc4,"Frankfurt am Main , Wiesbaden"
77dc84ee-c3a8-44e8-b812-1e9d08895624,"Frankfurt am Main , Wiesbaden"
7b27e480-201c-4414-900c-9506a967bf33,"Frankfurt am Main , Wiesbaden"
7b37db5d-0a85-d14c-e100-00000630df04,"Frankfurt am Main , Wiesbaden"
7bb46356-16ee-487e-bed2-a94b501fca20,"Frankfurt am Main , Wiesbaden"
7c29854d-6952-4eb6-8151-3f79cad8fb6c,"Frankfurt am Main , Wiesbaden"
7c8df815-61e2-45a3-b4c2-b0d668fc9f3f,"Frankfurt am Main , Wiesbaden"
7cb7ee38-945d-48df-89be-eb9a20fdcc52,"Frankfurt am Main , Wiesbaden"
7cee10d1-21c4-4356-b8f4-1473c9bee18d,"Frankfurt am Main , Wiesbaden"
7d0c575c-f3c0-402c-b03a-3ccca769446b,"Frankfurt am Main , Wiesbaden"
7d4a25b1-6335-4e37-8dda-6e0b9fce4402,"Frankfurt am Main , Wiesbaden"
7db7a93a-6a60-4971-06e7-10b7feaf0628,"Frankfurt am Main , Wiesbaden"
7de78e7b-b2f9-4db6-8e2a-d2a720ed1462,"Frankfurt am Main , Wiesbaden"
7e000157-8660-4b3b-843c-91dcbbc4f576,"Frankfurt am Main , Wiesbaden"
7e1393a4-359f-4826-b7a6-5d0f167ea1c8,"Frankfurt am Main , Wiesbaden"
7e373d32-7077-4751-9bf8-ac213e49e640,"Frankfurt am Main , Wiesbaden"
7e485027-07a8-4145-bcfb-ebdb32b4421c,"Frankfurt am Main , Wiesbaden"
7e89c71c-fa17-472d-9ec3-aef15bceccf1,"Frankfurt am Main , Wiesbaden"
7fa550bf-ce88-4dfa-a65b-a71002580e2d,"Frankfurt am Main , Wiesbaden"
6019b091-f0e9-4a2b-a7b9-5a4e806a08fa,"Frankfurt am Main , Wiesbaden"
6040a970-3ab2-4137-8879-2121a8482fd2,"Frankfurt am Main , Wiesbaden"
60919e38-5445-47ce-904c-896338e650e6,"Frankfurt am Main , Wiesbaden"
6096ada3-a213-4159-bf4e-6ee1fe364eb5,"Frankfurt am Main , Wiesbaden"
60d394d5-7514-46b4-8d6f-b3539a982fc0,"Frankfurt am Main , Wiesbaden"
60ff6468-2823-4f50-b4a2-a4f51e21dd61,"Frankfurt am Main , Wiesbaden"
628d5228-1d7c-4ecc-8be3-fba345aabd93,"Frankfurt am Main , Wiesbaden"
63043219-9422-44f3-af43-44e388973c3c,"Frankfurt am Main , Wiesbaden"
63597850-2326-4437-b880-887ab7901ced,"Frankfurt am Main , Wiesbaden"
64ef1b96-4d4b-4b2d-95ec-3ef4f10a6bfb,"Frankfurt am Main , Wiesbaden"
6583a9bc-0324-4334-aa6c-d3b703f8db97,"Frankfurt am Main , Wiesbaden"
