uuid,days,open_at,close_at
44cba74e-66bc-45c6-a847-4be6eb974eff,64,08:00:00,21:00:00
44cba74e-66bc-45c6-a847-4be6eb974eff,32,07:00:00,21:00:00
44cba74e-66bc-45c6-a847-4be6eb974eff,31,06:00:00,21:00:00
c6ad5f29-9c25-45d0-f637-d113e7c4b420,64,07:00:00,22:00:00
c6ad5f29-9c25-45d0-f637-d113e7c4b420,63,06:00:00,22:00:00
44f31744-0283-4fe2-9e2c-67ba7a754726,32,08:00:00,12:00:00
44f31744-0283-4fe2-9e2c-67ba7a754726,31,07:00:00,18:00:00
c6bee803-85d8-47b6-a937-17aa94f88898,64,09:00:00,22:00:00
c6bee803-85d8-47b6-a937-17aa94f88898,32,08:00:00,22:00:00
c6bee803-85d8-47b6-a937-17aa94f88898,31,07:00:00,22:00:00
44f32c6a-1ee8-4385-84e2-8bd517965e94,255,00:05:00,23:55:00
44f549e9-3bc7-4289-8e1e-c47df3e93cca,96,07:00:00,21:00:00
44f549e9-3bc7-4289-8e1e-c47df3e93cca,31,06:00:00,22:00:00
c71a174a-3645-4f1d-9930-8459f1b40774,64,08:00:00,20:00:00
c71a174a-3645-4f1d-9930-8459f1b40774,32,07:00:00,20:00:00
c71a174a-3645-4f1d-9930-8459f1b40774,31,06:00:00,20:00:00
c71b5122-bac7-494b-aa08-97ec2efa9ff2,64,08:00:00,22:00:00
c71b5122-bac7-494b-aa08-97ec2efa9ff2,32,07:00:00,22:00:00
c71b5122-bac7-494b-aa08-97ec2efa9ff2,31,06:00:00,22:00:00
baf0d24d-906e-46a0-80d3-403a33be0ab3,192,08:00:00,22:00:00
baf0d24d-906e-46a0-80d3-403a33be0ab3,63,06:00:00,22:00:00
44fcc58c-7f6c-4656-be02-78beb1423ef1,64,08:00:00,22:00:00
44fcc58c-7f6c-4656-be02-78beb1423ef1,32,07:00:00,22:00:00
44fcc58c-7f6c-4656-be02-78beb1423ef1,31,06:00:00,22:00:00
450d85a9-0d5f-489d-8d07-d55a555a85eb,64,08:00:00,22:00:00
450d85a9-0d5f-489d-8d07-d55a555a85eb,63,06:00:00,22:00:00
c73fa27f-764e-44c3-9e2d-73d6faa8ae84,224,07:00:00,22:00:00
c73fa27f-764e-44c3-9e2d-73d6faa8ae84,31,06:00:00,22:00:00
c74255f8-8d2f-4350-b874-54e8633aaacf,64,08:00:00,22:00:00
c74255f8-8d2f-4350-b874-54e8633aaacf,32,07:00:00,22:00:00
c74255f8-8d2f-4350-b874-54e8633aaacf,31,06:00:00,22:00:00
c74f32d1-e709-4a89-9db2-0a2ca7e70669,96,07:00:00,22:00:00
c74f32d1-e709-4a89-9db2-0a2ca7e70669,31,06:00:00,22:00:00
